นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
1,0105561177043,บจ.บางกอก อารีน่า จำกัด,11/10/2561," 1,740,000,000 ",59140,ประกอบกิจการโรงภาพยนตร์และโรงมหรสพอื่นๆ,49  ถนนรามคำแหง,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
2,0105561177035,บจ.ดิ เอ็มไลฟ์ จำกัด,11/10/2561," 885,000,000 ",59140,ประกอบกิจการโรงภาพยนตร์และโรงมหรสพอื่น,49  ถนนรามคำแหง,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
3,0105561182071,บจ.นภาก่อสร้าง จำกัด,22/10/2561," 600,000,000 ",41002,รับเหมาก่อสร้าง,1 ซอย 2  ถนนเทศบาลรังสฤษดิ์ใต้,แขวงลาดยาว,เขตจตุจักร,กรุงเทพมหานคร,10900
4,0105561177728,บจ.ชายน์นิ่งโกลด์ จิวเวลรี่ จำกัด,12/10/2561," 560,000,000 ",47732,ประกอบกิจการ จำหน่าย ทอง นาก เงิน เพชรพลอย และอัญมณีอื่น รวมทั้งวัตถุทำเทียมสิ่งดังกล่าว,"116, 118  ถนนเจริญกรุง",แขวงวังบูรพาภิรมย์,เขตพระนคร,กรุงเทพมหานคร,10200
5,0105561175784,บจ.เอเซีย รีไซเคิล โฮลดิ้ง จำกัด,10/10/2561," 450,000,000 ",64202,ประกอบกิจการลงทุน ร่วมลงทุน ในธุรกิจเกี่ยวกับการบำบัด และกำจัดของเสียที่เป็นอันตราย,73  อาคารมหาชล ซอยสุขุมวิท 62 ถนนสุขุมวิท,แขวงพระโขนงใต้,เขตพระโขนง,กรุงเทพมหานคร,10260
6,0105561176136,บจ.บริการภาคพื้น ท่าอากาศยานไทย จำกัด,10/10/2561," 400,000,000 ",52231,ให้บริการหรือเช่าอุปกรณ์ ภาคพื้นดิน,222  อาคารคลังสินค้าที่ 3 ถนนวิภาวดีรังสิต,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
7,0105561170456,บจ.เลควู๊ด ซิตี้ จำกัด,2/10/2561," 200,000,000 ",68102,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่เพื่อเป็นที่พักอาศัย,3/28  ซอยประเสริฐมนูกิจ 29 ถนนประเสริฐมนูกิจ,แขวงจรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
8,0105561170936,บจ.เลคฟอเรส แลนด์ จำกัด,3/10/2561," 200,000,000 ",68102,การซื้อและการขาย อสังหาริมทรัพย์ที่เป็นของตนเอง ที่ไม่ใช่เพื่อเป็นที่อยู่อาศัย,3/28  ซอยประเสริฐมนูกิจ 29 ถนนประเสริฐมนูกิจ,แขวงจรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
9,0105561171282,บจ.เลควิว แลนด์ จำกัด,3/10/2561," 200,000,000 ",68102,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่เพื่อเป็นที่พักอาศัย,274  ซอยประเสริฐมนูกิจ 29 ถนนประเสริฐมนูกิจ,แขวงจรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
10,0105561178970,บจ.เหอหนาน พรอสเปอร์ ยูเอสเอ (ไทย) จำกัด,16/10/2561," 163,000,000 ",13921,ประกอบกิจการ ผลิต นำเข้า ส่งออก และจำหน่าย เครื่องนอน เครื่องนุ่งห่ม สิ่งตกแต่งภายในบ้านเรือน เฟอร์นิเจอร์และสินค้าใดๆ,391-391/1 เขตอุตสาหกรรมส่งออก 3 นิคมอุตสาหกรรมลาดกระบัง  ถนนฉลองกรุง,แขวงลำปลาทิว,เขตลาดกระบัง,กรุงเทพมหานคร,10520
